,ip,date,time,zone,cik,accession,extention,code,size,idx,norefer,noagent,find,crawler,browser
0,101.81.133.jja,2017-06-26,00:00:00,0.0,1423227.0,0001104659-17-041312,-index.htm,200.0,12352.0,1.0,0.0,0.0,9.0,0.0,
1,101.81.133.jja,2017-06-26,00:00:00,0.0,1318349.0,0000913760-17-000077,-index.htm,200.0,7713.0,1.0,0.0,0.0,9.0,0.0,
2,101.81.133.jja,2017-06-26,00:00:00,0.0,1504389.0,0001662252-17-000130,-index.htm,200.0,6649.0,1.0,0.0,0.0,9.0,0.0,
3,104.247.35.caa,2017-06-26,00:00:00,0.0,1113148.0,0001193125-16-455456,.txt,200.0,50057.0,0.0,0.0,0.0,10.0,0.0,
4,104.247.35.caa,2017-06-26,00:00:00,0.0,1113148.0,0000769993-16-001076,.txt,200.0,22615.0,0.0,0.0,0.0,10.0,0.0,
5,104.247.35.caa,2017-06-26,00:00:00,0.0,1113148.0,0000215457-16-001570,.txt,200.0,14159.0,0.0,0.0,0.0,10.0,0.0,
6,107.22.225.dea,2017-06-26,00:00:00,0.0,1617406.0,0001193125-17-160961,d364947dex81.htm,200.0,32915.0,0.0,0.0,0.0,10.0,0.0,
7,107.23.85.jfd,2017-06-26,00:00:00,0.0,1171040.0,0001193125-14-194534,-index.htm,200.0,2828.0,1.0,0.0,0.0,10.0,0.0,
8,107.23.85.jfd,2017-06-26,00:00:00,0.0,1171040.0,0001193125-14-309551,-index.htm,200.0,2803.0,1.0,0.0,0.0,10.0,0.0,
9,107.23.85.jfd,2017-06-26,00:00:00,0.0,1081915.0,0000930413-07-003410,-index.htm,200.0,2786.0,1.0,0.0,0.0,10.0,0.0,
10,107.23.85.jfd,2017-06-26,00:00:00,0.0,890493.0,0001193125-13-220715,-index.htm,200.0,3050.0,1.0,0.0,0.0,10.0,0.0,
11,107.23.85.jfd,2017-06-26,00:00:00,0.0,1081915.0,0000930413-07-001970,-index.htm,200.0,2787.0,1.0,0.0,0.0,10.0,0.0,
12,107.23.85.jfd,2017-06-26,00:00:00,0.0,890493.0,0001193125-13-222734,-index.htm,200.0,2820.0,1.0,0.0,0.0,10.0,0.0,
13,107.23.85.jfd,2017-06-26,00:00:00,0.0,1137103.0,0001056404-03-000616,-index.htm,200.0,2693.0,1.0,0.0,0.0,10.0,0.0,
14,107.23.85.jfd,2017-06-26,00:00:00,0.0,1137103.0,0001056404-01-000255,-index.htm,200.0,2723.0,1.0,0.0,0.0,10.0,0.0,
15,107.23.85.jfd,2017-06-26,00:00:00,0.0,890493.0,0001193125-13-221721,-index.htm,200.0,2870.0,1.0,0.0,0.0,10.0,0.0,
16,107.23.85.jfd,2017-06-26,00:00:00,0.0,1081915.0,0000930413-07-004587,-index.htm,200.0,2802.0,1.0,0.0,0.0,10.0,0.0,
17,107.23.85.jfd,2017-06-26,00:00:00,0.0,1137103.0,0001056404-02-000368,-index.htm,200.0,2705.0,1.0,0.0,0.0,10.0,0.0,
18,107.23.85.jfd,2017-06-26,00:00:00,0.0,1081915.0,0000930413-07-003483,-index.htm,200.0,2789.0,1.0,0.0,0.0,10.0,0.0,
19,107.23.85.jfd,2017-06-26,00:00:00,0.0,1171040.0,0001193125-14-339074,-index.htm,200.0,2832.0,1.0,0.0,0.0,10.0,0.0,
20,107.23.85.jfd,2017-06-26,00:00:00,0.0,1081915.0,0000930413-07-004798,-index.htm,200.0,2798.0,1.0,0.0,0.0,10.0,0.0,
21,107.23.85.jfd,2017-06-26,00:00:00,0.0,1081915.0,0000930413-07-001990,-index.htm,200.0,2785.0,1.0,0.0,0.0,10.0,0.0,
22,107.23.85.jfd,2017-06-26,00:00:00,0.0,890493.0,0001193125-13-221730,-index.htm,200.0,2868.0,1.0,0.0,0.0,10.0,0.0,
23,107.23.85.jfd,2017-06-26,00:00:00,0.0,1171040.0,0001193125-14-263360,-index.htm,200.0,2830.0,1.0,0.0,0.0,10.0,0.0,
24,107.23.85.jfd,2017-06-26,00:00:00,0.0,1137103.0,0001056404-02-000922,-index.htm,200.0,2717.0,1.0,0.0,0.0,10.0,0.0,
25,107.23.85.jfd,2017-06-26,00:00:00,0.0,1171040.0,0001193125-14-306326,-index.htm,200.0,2840.0,1.0,0.0,0.0,10.0,0.0,
26,107.23.85.jfd,2017-06-26,00:00:00,0.0,890493.0,0001193125-13-222712,-index.htm,200.0,2819.0,1.0,0.0,0.0,10.0,0.0,
27,107.23.85.jfd,2017-06-26,00:00:00,0.0,1137103.0,0001056404-03-001303,-index.htm,200.0,2711.0,1.0,0.0,0.0,10.0,0.0,
28,107.23.85.jfd,2017-06-26,00:00:00,0.0,890493.0,0001193125-13-191460,-index.htm,200.0,2963.0,1.0,0.0,0.0,10.0,0.0,
29,107.23.85.jfd,2017-06-26,00:00:00,0.0,1081915.0,0000930413-07-004586,-index.htm,200.0,2799.0,1.0,0.0,0.0,10.0,0.0,
30,107.23.85.jfd,2017-06-26,00:00:00,0.0,1171040.0,0001193125-14-140345,-index.htm,200.0,2830.0,1.0,0.0,0.0,10.0,0.0,
31,107.23.85.jfd,2017-06-26,00:00:00,0.0,1171040.0,0001193125-14-233111,-index.htm,200.0,2834.0,1.0,0.0,0.0,10.0,0.0,
32,107.23.85.jfd,2017-06-26,00:00:00,0.0,1171040.0,0001193125-14-368851,-index.htm,200.0,2828.0,1.0,0.0,0.0,10.0,0.0,
33,107.23.85.jfd,2017-06-26,00:00:00,0.0,1137103.0,0001056404-02-001637,-index.htm,200.0,2713.0,1.0,0.0,0.0,10.0,0.0,
34,107.4.9.djb,2017-06-26,00:00:00,0.0,1439095.0,0001439095-17-000008,-index.htm,200.0,3319.0,1.0,0.0,0.0,1.0,0.0,
35,115.111.60.idd,2017-06-26,00:00:00,0.0,314808.0,0000314808-17-000012,-index.htm,200.0,12370.0,1.0,0.0,0.0,10.0,0.0,
36,115.111.60.idd,2017-06-26,00:00:00,0.0,314808.0,0000314808-17-000012,-index.htm,301.0,288.0,1.0,0.0,1.0,10.0,0.0,
37,116.226.190.eag,2017-06-26,00:00:00,0.0,1583771.0,0001104659-14-006638,-index.htm,200.0,11160.0,1.0,0.0,0.0,10.0,0.0,
38,116.226.190.eag,2017-06-26,00:00:00,0.0,1432196.0,0001144204-17-026152,-index.htm,200.0,12445.0,1.0,0.0,0.0,10.0,0.0,
39,116.226.190.eag,2017-06-26,00:00:00,0.0,1354327.0,0001193125-15-368358,-index.htm,200.0,11115.0,1.0,0.0,0.0,10.0,0.0,
40,116.226.190.eag,2017-06-26,00:00:00,0.0,1432196.0,0001521536-13-000457,-index.htm,200.0,12539.0,1.0,0.0,0.0,10.0,0.0,
41,116.226.190.eag,2017-06-26,00:00:00,0.0,1178104.0,0000950134-06-003830,-index.htm,200.0,7488.0,1.0,0.0,0.0,10.0,0.0,
42,116.226.190.eag,2017-06-26,00:00:00,0.0,320340.0,0001437749-13-010866,-index.htm,200.0,10801.0,1.0,0.0,0.0,10.0,0.0,
43,116.226.190.eag,2017-06-26,00:00:00,0.0,1292519.0,0001193125-11-190231,-index.htm,200.0,7704.0,1.0,0.0,0.0,10.0,0.0,
44,116.226.190.eag,2017-06-26,00:00:00,0.0,1066194.0,0001193125-10-259061,-index.htm,200.0,7987.0,1.0,0.0,0.0,10.0,0.0,
45,116.226.190.eag,2017-06-26,00:00:00,0.0,1216596.0,0001216596-10-000029,-index.htm,200.0,8700.0,1.0,0.0,0.0,10.0,0.0,
46,117.91.1.hee,2017-06-26,00:00:00,0.0,1409970.0,0001409970-17-000698,-index.htm,200.0,6521.0,1.0,0.0,0.0,10.0,0.0,
47,117.91.1.hee,2017-06-26,00:00:00,0.0,1409970.0,0001409970-17-000732,-index.htm,200.0,6521.0,1.0,0.0,0.0,10.0,0.0,
48,117.91.1.hee,2017-06-26,00:00:00,0.0,1409970.0,0001409970-17-000711,-index.htm,200.0,6521.0,1.0,0.0,0.0,10.0,0.0,
49,117.91.1.hee,2017-06-26,00:00:00,0.0,1409970.0,0001409970-17-000710,-index.htm,200.0,6521.0,1.0,0.0,0.0,10.0,0.0,
50,128.175.241.beg,2017-06-26,00:00:00,0.0,895648.0,0001299933-06-007440,htm_16378.htm,200.0,14233.0,0.0,0.0,0.0,10.0,0.0,
51,128.175.241.beg,2017-06-26,00:00:00,0.0,895650.0,0001165527-06-000468,.txt,200.0,7705.0,0.0,0.0,0.0,10.0,0.0,
52,128.175.241.beg,2017-06-26,00:00:00,0.0,895648.0,0001299933-06-007440,htm_16378.htm,301.0,656.0,0.0,0.0,0.0,10.0,0.0,
53,128.175.241.beg,2017-06-26,00:00:00,0.0,895650.0,0001165527-06-000468,.txt,301.0,643.0,0.0,0.0,0.0,10.0,0.0,
54,128.91.91.iji,2017-06-26,00:00:00,0.0,724915.0,0001019687-07-002872,.txt,200.0,34994.0,0.0,0.0,0.0,10.0,0.0,
55,128.91.91.iji,2017-06-26,00:00:00,0.0,1050797.0,0000893877-99-000199,.txt,200.0,43987.0,0.0,0.0,0.0,10.0,0.0,
56,128.91.91.iji,2017-06-26,00:00:00,0.0,19617.0,0000950123-96-001197,.txt,200.0,171262.0,0.0,0.0,0.0,10.0,0.0,
57,128.91.91.iji,2017-06-26,00:00:00,0.0,107819.0,0000107815-03-000008,.txt,200.0,64934.0,0.0,0.0,0.0,10.0,0.0,
58,128.91.91.iji,2017-06-26,00:00:00,0.0,1001039.0,0001001039-15-000255,.txt,200.0,1964106.0,0.0,0.0,0.0,10.0,0.0,
59,128.91.91.iji,2017-06-26,00:00:00,0.0,1004973.0,0001004973-99-000004,.txt,200.0,34319.0,0.0,0.0,0.0,10.0,0.0,
60,128.91.91.iji,2017-06-26,00:00:00,0.0,880208.0,0000950134-01-506567,.txt,200.0,70793.0,0.0,0.0,0.0,10.0,0.0,
61,128.91.91.iji,2017-06-26,00:00:00,0.0,1509470.0,0001144204-12-014453,.txt,200.0,158603.0,0.0,0.0,0.0,10.0,0.0,
62,134.121.98.jic,2017-06-26,00:00:00,0.0,39273.0,0000039273-10-000012,form10k.htm,200.0,123390.0,0.0,0.0,0.0,9.0,0.0,
63,137.116.195.jga,2017-06-26,00:00:00,0.0,1534380.0,0001172661-17-001202,-index.htm,301.0,681.0,1.0,0.0,0.0,10.0,0.0,
64,137.116.195.jga,2017-06-26,00:00:00,0.0,1112520.0,0001112520-17-000019,-index.htm,200.0,7445.0,1.0,0.0,0.0,10.0,0.0,
65,137.116.195.jga,2017-06-26,00:00:00,0.0,1278951.0,0001278951-17-000004,-index.htm,301.0,679.0,1.0,0.0,0.0,10.0,0.0,
66,137.116.195.jga,2017-06-26,00:00:00,0.0,1063296.0,0000905718-17-000559,-index.htm,200.0,7480.0,1.0,0.0,0.0,10.0,0.0,
67,137.116.195.jga,2017-06-26,00:00:00,0.0,1483866.0,0001172661-17-000989,-index.htm,200.0,7475.0,1.0,0.0,0.0,10.0,0.0,
68,137.116.195.jga,2017-06-26,00:00:00,0.0,1389563.0,0001172661-17-001224,-index.htm,200.0,7366.0,1.0,0.0,0.0,10.0,0.0,
69,137.116.195.jga,2017-06-26,00:00:00,0.0,945631.0,0000945631-17-000010,-index.htm,200.0,7355.0,1.0,0.0,0.0,10.0,0.0,
70,137.116.195.jga,2017-06-26,00:00:00,0.0,1534380.0,0001172661-17-001202,-index.htm,200.0,7478.0,1.0,0.0,0.0,10.0,0.0,
71,137.116.195.jga,2017-06-26,00:00:00,0.0,1050442.0,0001050442-17-000006,-index.htm,200.0,7574.0,1.0,0.0,0.0,10.0,0.0,
72,137.116.195.jga,2017-06-26,00:00:00,0.0,1568820.0,0001606587-17-000351,-index.htm,200.0,7500.0,1.0,0.0,0.0,10.0,0.0,
73,137.116.195.jga,2017-06-26,00:00:00,0.0,945631.0,0000945631-17-000010,-index.htm,301.0,677.0,1.0,0.0,0.0,10.0,0.0,
74,137.116.195.jga,2017-06-26,00:00:00,0.0,1112520.0,0001112520-17-000019,-index.htm,301.0,677.0,1.0,0.0,0.0,10.0,0.0,
75,137.116.195.jga,2017-06-26,00:00:00,0.0,1358706.0,0001172661-17-001035,-index.htm,301.0,682.0,1.0,0.0,0.0,10.0,0.0,
76,137.116.195.jga,2017-06-26,00:00:00,0.0,860585.0,0000950123-17-005324,-index.htm,200.0,7530.0,1.0,0.0,0.0,10.0,0.0,
77,137.116.195.jga,2017-06-26,00:00:00,0.0,1542280.0,0001144204-17-027232,-index.htm,200.0,7387.0,1.0,0.0,0.0,10.0,0.0,
78,137.116.195.jga,2017-06-26,00:00:00,0.0,860585.0,0000950123-17-005324,-index.htm,301.0,682.0,1.0,0.0,0.0,10.0,0.0,
79,137.116.195.jga,2017-06-26,00:00:00,0.0,1389563.0,0001172661-17-001224,-index.htm,301.0,682.0,1.0,0.0,0.0,10.0,0.0,
80,137.116.195.jga,2017-06-26,00:00:00,0.0,1483866.0,0001172661-17-000989,-index.htm,301.0,681.0,1.0,0.0,0.0,10.0,0.0,
